N, Base Line, D time, SW time, Sedge time, AVL time
10,0.006,0.004,0.004,0.005,0.008
12,0.004,0.005,0.004,0.005,0.006
14,0.005,0.006,0.005,0.006,0.006
16,0.005,0.006,0.006,0.007,0.006
18,0.006,0.011,0.003,0.003,0.003
20,0.004,0.004,0.004,0.004,0.004
22,0.004,0.004,0.004,0.004,0.004
24,0.004,0.005,0.004,0.005,0.004
26,0.004,0.005,0.005,0.005,0.005
28,0.004,0.005,0.005,0.005,0.005
30,0.006,0.006,0.006,0.006,0.006
N, Base Line, D time, SW time, Sedge time, AVL time
1000,0.349,0.350,0.319,0.315,0.249
1010,0.275,0.319,0.307,0.315,0.251
1020,0.279,0.304,0.310,0.321,0.253
1030,0.279,0.312,0.330,0.400,0.287
1040,0.281,0.307,0.311,0.328,0.258
1050,0.283,0.314,0.313,0.325,0.262
1060,0.294,0.324,0.343,0.381,0.270
1070,0.295,0.322,0.322,0.363,0.287
1080,0.314,0.327,0.328,0.343,0.275
1090,0.293,0.322,0.326,0.341,0.309
1100,0.367,0.368,0.352,0.363,0.287
1110,0.306,0.334,0.341,0.348,0.277
1120,0.309,0.340,0.341,0.369,0.297
1130,0.319,0.339,0.342,0.357,0.283
1140,0.331,0.348,0.350,0.362,0.289
1150,0.320,0.349,0.349,0.366,0.293
1160,0.358,0.382,0.359,0.369,0.297
1170,0.329,0.366,0.358,0.371,0.298
1180,0.328,0.358,0.360,0.376,0.294
1190,0.331,0.367,0.365,0.381,0.310
1200,0.334,0.367,0.372,0.409,0.318
1210,0.338,0.365,0.372,0.414,0.334
1220,0.392,0.376,0.385,0.416,0.310
1230,0.344,0.378,0.381,0.395,0.310
1240,0.344,0.380,0.379,0.408,0.324
1250,0.363,0.395,0.394,0.409,0.317
1260,0.350,0.385,0.388,0.400,0.321
1270,0.356,0.483,0.439,0.412,0.327
1280,0.372,0.409,0.407,0.421,0.331
1290,0.361,0.398,0.404,0.415,0.335
1300,0.374,0.407,0.412,0.425,0.330
1310,0.371,0.407,0.410,0.423,0.333
1320,0.377,0.467,0.473,0.443,0.339
1330,0.388,0.425,0.417,0.431,0.339
1340,0.391,0.418,0.422,0.437,0.342
1350,0.388,0.423,0.445,0.455,0.348
1360,0.387,0.423,0.432,0.438,0.351
